date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Sun, 3 Mar",Philadelphia,L104-97,33-27,Lee  16,Curry  9,2012/2013,Curry,30
"Tue, 5 Mar",Toronto,W125-118,34-27,Lee  11,Curry  12,2012/2013,Lee,29
"Thu, 7 Mar",Sacramento,W87-83,35-27,Lee  10,Curry  8,2012/2013,Thompson,20
"Sat, 9 Mar",Houston,L94-88,35-28,Bogut  11,Curry  8,2012/2013,Curry,24
"Sun, 10 Mar",Milwaukee,L103-93,35-29,Landry  10,Curry  10,2012/2013,Landry,18
"Tue, 12 Mar",New York,W92-63,36-29,Bogut  11,Lee  8,2012/2013,Curry,26
"Thu, 14 Mar",Detroit,W105-97,37-29,Lee  15,Curry  8,2012/2013,Curry,31
"Sat, 16 Mar",Chicago,L113-95,37-30,Lee  8,Curry  4,2012/2013,Jack,20
"Sun, 17 Mar",Houston,W108-78,38-30,Bogut  12,Curry  11,2012/2013,Curry,29
"Tue, 19 Mar",New Orleans,W93-72,39-30,Lee  11,Jack  5,2012/2013,Curry,30
"Thu, 21 Mar",San Antonio,L104-93,39-31,Lee  12,Jack  7,2012/2013,Curry,24
"Sun, 24 Mar",Washington,W101-92,40-31,Lee  15,Curry  8,2012/2013,Curry,35
"Tue, 26 Mar",Los Angeles,W109-103,41-31,Lee  12,Curry  10,2012/2013,Curry,25
"Thu, 28 Mar",Sacramento,L105-98,41-32,Lee  10,Curry  12,2012/2013,Lee,20
"Sun, 31 Mar",Portland,W125-98,42-32,Landry  10,Curry  6,2012/2013,Curry,39
"Thu, 4 Apr",New Orleans,W98-88,43-32,Lee  16,Curry  9,2012/2013,Lee,23
"Sat, 6 Apr",Phoenix,W111-107,44-32,Lee  14,Curry  15,2012/2013,Thompson,25
"Mon, 8 Apr",Utah,L97-90,44-33,Lee  13,Jack  6,2012/2013,Curry,22
"Wed, 10 Apr",Minnesota,W105-89,45-33,Bogut  14,Curry  10,2012/2013,Thompson,30
"Fri, 12 Apr",Oklahoma City,L116-97,45-34,Lee  11,Curry  7,2012/2013,Curry,22
"Sat, 13 Apr",Los Angeles,L118-116,45-35,Lee  8,Curry  9,2012/2013,Curry,47
"Tue, 16 Apr",San Antonio,W116-106,46-35,Ezeli  13,Jack  12,2012/2013,Curry,35
"Thu, 31 Oct",Los Angeles,W125-94,1-0,Lee  8,Curry  6,2013/2014,Thompson,38
"Fri, 1 Nov",Los Angeles,L126-115,1-1,Green  8,Iguodala  11,2013/2014,Curry,38
"Sun, 3 Nov",Sacramento,W98-87,2-1,Lee  12,Curry  12,2013/2014,Thompson,27
"Tue, 5 Nov",Philadelphia,W110-90,3-1,Curry  10,Curry  12,2013/2014,Iguodala,32
"Thu, 7 Nov",Minnesota,W106-93,4-1,Lee  15,Curry  7,2013/2014,Thompson,30
